,Name,Country,Room_stayed,Date_stayed,Trip_type,Review_date,Review_title,Positive,Negative,Reviewer_score
632,Sophina,United Kingdom,Superior Double Room,1 night ·  March 2019,Couple,Reviewed: 18 March 2019,"Excellent experience, I will be coming back",The beautiful restaurant and breakfast,I would have preferred if the breakfast went on a little later maybe till 11am,10
633,Huang,Belgium,Superior Twin Room,3 nights ·  March 2019,Family,Reviewed: 18 March 2019,Superb,Very comfort and clean.,Not Available,9.2
634,Fernando,United Kingdom,Superior Twin Room,1 night ·  March 2019,Couple,Reviewed: 17 March 2019,Good,Water in the pool was lukewarm to cold,Not Available,7.5
635,Richard,United Kingdom,Superior Double Room,2 nights ·  March 2019,Couple,Reviewed: 17 March 2019,As good as they come,The view from the room and the restaurant was amazing,The lights in the room could not be switched individually,10
636,Brittany,United Kingdom,Superior Double Room,1 night ·  March 2019,Couple,Reviewed: 17 March 2019,Perfect!!,It was our anniversary. The staff were aware of this and congratulated us on arrival and gave us complimentary drinks at the Bokan bar. We got to our room and we’re were greeted with a lovely dessert plate that said happy anniversary. The views were amazing. The pool was amazing. We loved every second x,Not Available,10
637,H,United Kingdom,Superior Double Room,1 night ·  March 2019,Couple,Reviewed: 16 March 2019,Great experience room upgraded to city view made it extra special,Staff done their best to make the stay special as it was a birthday treat for my partner,The shower guard in the bath room clearly needs replacing so when the shower was used there was a flood of water on the floor if I had known I would have asked for bath mats but clearly bit late .......,7.5
638,Casper,United Kingdom,Superior Double Room,2 nights ·  March 2019,Couple,Reviewed: 14 March 2019,One of the best in London,"The location was great, we had an event at the O2 and it was so easy to get to!
We were celebrating during our stay and the staff were so friendly and helpful and really made the stay special. Especially Marco on reception, who welcomed us like we’ve been going there for years! He was extremely professional and always had a friendly smile.
The hotels’ bar and restaurant is on the top 3 floors and has the most amazing views over the London skyline and Thames!
If you want to have an amazing experience in London and need a location near Canary Wharf you can’t go better!",Can’t really fault the hotel or guest services on anything so not applicable on this occasion.,10
639,Aashish,United Kingdom,Executive Double Room,1 night ·  March 2019,Couple,Reviewed: 13 March 2019,Superb,I liked my executive room. The bathroom though it was a shower only . Bed was comfy.,The housekeeper (female). Not a good hospitable manner. Not proper information about certain things.,9.2
640,Martin,United Kingdom,Executive Double Room,1 night ·  March 2019,Couple,Reviewed: 13 March 2019,"Superb room and view, very comfortable bed. Marvellous breakfast, very friendly staff.",Excellent room with a view over the river. Superb breakfast.,Nothing.,10
641,Sven,United Kingdom,Executive Double Room,1 night ·  March 2019,Solo traveller,Reviewed: 13 March 2019,Great views over London!,"great views, clean and modern room, good located property",nothing,10
642,Iveta,United Kingdom,Superior Double Room,2 nights ·  February 2019,Couple,Reviewed: 12 March 2019,Perfect Valentines weekend!,"The breakfast has vegan options which was lovely since my partner and I are both vegans. 
The room was very clean and modern. The bath overlooked the views of London.
The pool was very quite and relaxing. 
The members lounge had a nice selection of board games and free coffee machine. 
Lovely location! Highley recommend :)",The cleaner could have cleaned our rooms in the morning or before lunch. We came back to our hotel room in the late afternoon and therefore missed the chance of having room service.,9.2
643,Carol,Germany,Superior Double Room,3 nights ·  March 2019,Group,Reviewed: 12 March 2019,Fabulous,The Bar was amazing.,"Nothing. Great hotel, great location, very friendly staff.",8.8
644,Janie,United Kingdom,Superior Twin Room,3 nights ·  March 2019,Couple,Reviewed: 12 March 2019,Perfect location and services for us.,Really great location for O2 - one stop on the jubilee line then 5/6 minute walk. Great breakfast selection.,"The only thing they can improve on is maybe bathroom products. There was literally shampoo and shower gel, that’s it - so no body lotion or conditioner.",10
645,Rachel,United Kingdom,Deluxe Twin Room,3 nights ·  March 2019,Group,Reviewed: 11 March 2019,"Great location, excellent staff, shame about the bathroom privacy!","The staff were amazing, excellent customer service","The window into the bathroom wasn't a good design feature. Even with the frosting ""on"" you could see through it.",8.8
646,David,United Kingdom,Superior Twin Room,3 nights ·  March 2019,Couple,Reviewed: 11 March 2019,Exceptional,Good location excellent view from restaurant,N/A,10
647,Lisa,United Kingdom,Superior Twin Room,3 nights ·  March 2019,Group,Reviewed: 11 March 2019,Very comfortable,Views from restaurant,Not Available,9.6
648,Kevin,United Kingdom,Superior Double Room,1 night ·  March 2019,Couple,Reviewed: 11 March 2019,Wonderful hotel in a good location,"From the courteous greeting at reception, to the large comfortable bedroom with views of the London Skyline to the extensive tasty breakfast on the 38th floor with even better views. Couldn’t have been better.",Not Available,9.2
649,Emily,United Kingdom,Superior Double Room,2 nights ·  February 2019,Couple,Reviewed: 10 March 2019,Fabulous,"The views from the hotel room, the comfiness of the bed. The room was very clean, great pool. Staff were welcoming and friendly.","The breakfast was very overpriced in my opinion for what you got. The food was nice but paying £25 each felt like a rip off. The pool/gym facilities were very small. Also there was a male changing in the female changing rooms, there didn’t seem to be anyone around checking that these things weren’t happening.",8.8
650,Stephen,United Kingdom,Superior Double Room,2 nights ·  March 2019,Couple,Reviewed: 10 March 2019,"Fantastic hotel, great facilities, lovely staff.","Room was modern and very clean. Staff were lovely and very helpful. Roof top restaurant and bar was amazing, views were spectacular!",Nothing!,10
651,Julie,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 8 March 2019,Exceptional,"Lovely hotel, amazing views and definitely will be going back, maybe in the summer to enjoy the rooftop terrace.","My partner pre-order rose petals and chocolate strawberries and even discussed this with the reception as we checked in for a surprise for my 40th, however the strawberries were not in the room when we arrived back after visiting London, when my partner looked into this, and had advised you had run out of strawberries. My Partner was disappointed as he pre-ordered a month or so before and wanted my 40th to be special.",10
652,Max,United Kingdom,Superior Double Room,1 night ·  March 2019,Couple,Reviewed: 8 March 2019,Romantic Weekend,"Great Views, Modern and had a really nice weekend with my girlfriend.",The bar staff helped themselves to a tip by adding it on after signing for it to my room.,8.3
653,Londongal,United Kingdom,Superior Double Room,1 night ·  February 2019,Group,Reviewed: 7 March 2019,Perfect,Breakfast,"First room was very small, but was moved",8.3
654,Antony,United Kingdom,Superior Double Room,1 night ·  March 2019,Family,Reviewed: 5 March 2019,Very pleasant,View from restaurant was amazing,Lifts a little slow in arriving to you,9.2
655,James,United Kingdom,Superior Double Room,1 night ·  March 2019,Couple,Reviewed: 5 March 2019,A lovely hotel for a weekend break to celebrate my birthday,"The breakfast was very good but we had to sit in the bar and the tables wobbled.. a lot!
The location of the hotel was great and very easy to travel from.
There was birthday cake for me in our room",The wobbly tables in the bar,9.2
656,Matthew,United Kingdom,Executive Suite,1 night ·  March 2019,Couple,Reviewed: 4 March 2019,THE PERFECT WEEKEND AWAY!,"We couldn’t fault this Hotel one bit! Our executive suite was perfect! Staff could not do enough to help and the Bōkan roof terrace was great.
We will definitely be back. Thanks for a great stay!",Not Available,10
657,Lauren,United Kingdom,Superior Double Room,1 night ·  March 2019,Couple,Reviewed: 3 March 2019,Amazing,Everything the views was absolutely gorgeous food drink services superb hotel,Thankyou so much was amazing and the card and cake for my partners birthday was so lovely will be staying again for sure :),10
658,Chelsea,United Kingdom,Superior Double Room,2 nights ·  March 2019,Couple,Reviewed: 3 March 2019,Very helpful and friendly staff and the room was nice.,"The view from our room was lovely, staff were lovely, friendly, helpful and welcoming. The bed was very comfortable!",The lifts were difficult to get used to but when you got used to them they were fine but took a little while. There wasn’t a shop local that you could pop into for anything you needed.,8.3
659,Teresa,United Kingdom,Superior Double Room,1 night ·  March 2019,Couple,Reviewed: 3 March 2019,Will 100% be staying again real soon,"The whole experience, clean rooms, great good, welcoming staff.",Nothing all good,10
660,Emma,United Kingdom,Superior Double Room,1 night ·  March 2019,Couple,Reviewed: 3 March 2019,Didn’t want to leave,The view and atmosphere inside bar,Nothing,9.6
661,Malchiel,United Kingdom,Studio Suite,1 night ·  March 2019,Couple,Reviewed: 3 March 2019,Exceptional,"The hotel, rooms and are exceeded my expectations and I would definitely stay here again.",Not Available,10
662,Neil,United Kingdom,Superior Double Room,2 nights ·  March 2019,Couple,Reviewed: 3 March 2019,"Good hotel, would recommend. But ask for a room with nice view and book table for dinner on arrival","Staff helpful, room lovely, views from cafe beautiful, good breakfast.","Sauna not hot enough, couldn’t get a table in restaurant fordinner. We’re not informed we had to book this. Bit of a walk to tube station.",7.5
663,Gemma,United Kingdom,Superior Double Room,1 night ·  March 2019,Group,Reviewed: 3 March 2019,"Stayed for my friends 21st birthday, suceeded all of my expectations!",The staff were so friendly and happy to help with anything. The bar was so nice and the cocktails were delicious.,"Nothing, everything was brilliant",9.2
664,Conor,United Kingdom,Superior Double Room,2 nights ·  February 2019,Couple,Reviewed: 28 February 2019,Sickkkk,"Amazing hotel, will deffo be coming back hold tight!😏🤔",Not Available,10
665,Sat,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 28 February 2019,Exceptional,"The room was a delight, beautiful view across London and loved the shower. The staff were lovely and helpful, very quirky style hotel which i loved and was in a great part of Canary Wharf. 10/10",Not Available,10
666,Bartski83,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 27 February 2019,Exceptional,Amazing view great location as chose to drive to the hotel.,No on site parking but not an issue as cheap local parking was available.,10
667,Roderick,Spain,Superior Double Room with City View,3 nights ·  February 2019,Couple,Reviewed: 27 February 2019,Fabulous,Breakfast poor value,Not Available,8.8
668,Nicola,United Kingdom,Superior Double Room,1 night ·  February 2019,Group,Reviewed: 26 February 2019,Beautiful hotel and very comfortable stay,Amazing scenery from roof top bar and hotel room,drinks were expensive,10
669,Sonam,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 25 February 2019,Exceptional,The location and the view from the top floor was amazing.,The room for an executive suite was very small and it did say there is a private bathroom but it was only a shower.,10
670,Toyosi,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 25 February 2019,Exceptional,"The room was lovely and very clean. The restaurant/bar was amazing, had lovely views over the city.",Not Available,9.6
671,Linda,United Kingdom,Superior Double Room,3 nights ·  February 2019,Couple,Reviewed: 25 February 2019,Exceptional,Everything it was really lovely and the bed was super comfortable,Nothing,10
672,Catherine,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 24 February 2019,Brill !,"The location was a amazing, the hotel was just perfect, the roof top and the amazing views were the icing on the cake, the breakfast we had loads to choose from and was all good quality product.. safe were very friendly and professional.","The room has a sewage smell throughout the night which made it very uncomfortable for us to sleep, I told the safe and they came and sorted it in the morning.",10
673,Gordana,Croatia,Superior Double Room,6 nights ·  February 2019,Solo traveller,Reviewed: 24 February 2019,Great views,Great breakfest with great view.,Not Available,8.8
674,Kylie,United Kingdom,Superior Double Room,1 night ·  February 2019,Group,Reviewed: 24 February 2019,Exceptional,"Central Location, easy access to transportation links. Clean, friendly and comfortable stay. Roof top bar is a must see for the city’s skyline :)",Not Available,10
675,Christine,United Kingdom,Superior Double Room,2 nights ·  February 2019,Family,Reviewed: 24 February 2019,Exceptional,Location roof top with fantastic views,Price for breakfast,9.6
676,Keaton,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 23 February 2019,Very good,Very clean and comfortable,Location is not that great,8.3
677,James,United Kingdom,Executive Double Room,2 nights ·  February 2019,Couple,Reviewed: 23 February 2019,Exceptional,Facilities were brilliant and the staff really friendly. Room spotless and had amazing views over London!,Nothing,9.6
678,Masa,Croatia,Superior Double Room,5 nights ·  February 2019,Couple,Reviewed: 23 February 2019,Exceptional,"Interior design is amazing! Beautiful, comfortable and amazing view",Not Available,10
679,Dean,United Kingdom,Superior Twin Room,1 night ·  February 2019,Couple,Reviewed: 22 February 2019,Will be back.,The room was spotless very modern and comfortable.,Not Available,9.6
680,Katy,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 22 February 2019,Exceptional,Extra comfy bed and nice view,Not Available,9.6
681,Michael,United Kingdom,Superior Twin Room,4 nights ·  January 2019,Couple,Reviewed: 22 February 2019,Good,We picked it for the location as we had to be at Canary Wharf. Room was good.,No way were we going to eat there. Very expensive breakfast and restaurant aimed at people who like loud music.... we knew there were plenty of places to eat at Canary Wharf.,7.5
682,Nick,United Kingdom,Superior Twin Room,1 night ·  February 2019,Group,Reviewed: 22 February 2019,Perfect !,"This booking was a 40th birthday treat for my wife & her friend, their birthday's are a day apart & both came to learn English & settle in the Uk over 12 years ago). It was brilliant, the lady who I corresponded with prior to their arrival & the card, balloons & biscuits left in the room where very much appreciated. So 7 huge thank you to Jacqui McMillan & her team for making their stay a highly memorable one & I hope to see & us your hotel again.",Not Available,10
683,Ruksha,United Kingdom,Superior Double Room with City View,1 night ·  February 2019,Family,Reviewed: 20 February 2019,Fabulous,The views,No Bath tub,8.8
684,Amy,United Kingdom,Superior Double Room,1 night ·  February 2019,Solo traveller,Reviewed: 20 February 2019,Ruffled my feathers!!,Pool and breakfast was amazing,"Twice during our stay the electricity went out 
I am allergic to feathers and noticed after a night out at 3 am there was a feather mattress topper on the bed I couldn't call down to reception as the phone in the room didn't work and I wasn't prepared to go downstairs in my nightware so I have had to wrestle with it to get it off the bed and sustain some scratches on me from some feathers poking through the topper also 
I mentioned this to the receptionists on check out he said can I get you a drink in the bar this I do not feel was compensation enough for a very uncomfortable night",7.5
685,Joseph,United Kingdom,Superior Double Room,3 nights ·  February 2019,Couple,Reviewed: 20 February 2019,Great break in a wonderful location with good friends,The staff were very friendly and offered assistance freely. Very trendy lobby.,It was perfect,9.6
686,Cos,Luxembourg,Superior Double Room,3 nights ·  February 2019,Couple,Reviewed: 19 February 2019,Nice stay at an excellent location,"Location
Bedroom",Nothing,7.9
687,Molly,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 19 February 2019,Superb,"The views are incredible from the bedroom.. cannot fault the Room, it was perfect.","The staff at the bar in the hotel didn’t take our order for ages and when they eventually did, people who had orderd after us had their drinks before us. Took forever..",9.2
688,Victoria,United Kingdom,Superior Twin Room,1 night ·  February 2019,Couple,Reviewed: 19 February 2019,Exceptional,Everything! It's beautiful from as soon as you step into the hotel from the view from your room.,Not Available,10
689,Sara,United Kingdom,Superior Twin Room,1 night ·  February 2019,Group,Reviewed: 19 February 2019,Brilliant time in the hotel - watching the world go by - fantastic views,"Location- quirky look of the hotel
Clean and well organised",Liked it all,9.2
690,Joje,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 18 February 2019,Good,When one of the staff knocked our door it's because of the noise of the music they heard it and we thought it's a soundproof room.,Not Available,7.5
691,Marina,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 18 February 2019,Just perfect.,The breakfast views!,Not Available,10
692,Danyal,United Kingdom,Superior Double Room,2 nights ·  February 2019,Couple,Reviewed: 18 February 2019,Exceptional,The view was amazing! Friendly staff! Stayed here for our one year anniversary,Nothing really,10
693,Maria,United Kingdom,Superior Double Room,3 nights ·  February 2019,Solo traveller,Reviewed: 18 February 2019,I would definitely stay here again,I had a wonderful view of the city which is what I asked for and the hotel staff did their very best to accommodate that! So thank you,Not Available,9.2
694,Rebecca,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 17 February 2019,Felt like royalty,"We liked the staff and how friendly and helpful they were. 
We were also in love with the view. Before hand, I had asked if we could have a room with a beautiful view as my partner would love it, and they adhered so well to my hopes of getting an amazing view. Thanks so so much we had an amazing weekend!",Not Available,8.8
695,Laura,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 17 February 2019,"Super trendy comfortable hotel, great views.","Incredible view from room, we didn't turn the tv on once as spent the whole time looking out of window. Including view from bath/shower! This was for the basic price room too. Great that the breakfast is served on floor 38 so all can enjoy the views.","Service at breakfast was a little chaotic (person who seated us never offered us a drink, went to ask second person who then took order but forgot to bring our tea & had to ask a third person), it wasn't a big issue but maybe they need a different system to help things run smoothly. Staff very friendly though.",9.2
696,Marita,Norway,Superior Twin Room,3 nights ·  February 2019,Group,Reviewed: 17 February 2019,"Nice hotel, lovely breakfast and nice staff",Really nice staff.,Not Available,9.6
697,Ellis,United Kingdom,Executive Double Room,1 night ·  February 2019,Couple,Reviewed: 16 February 2019,Best hotel I’ve ever been in A++++++++,Everything - best hotel i have ever stayed in,Literally nothing - it was incredible,10
698,Trish,United Kingdom,Superior Double Room,1 night ·  February 2019,Family,Reviewed: 16 February 2019,Exceptional,The views from our room..the restaurant and the rooftop bar .xxx,Nothing to dislike,10
699,John,United Kingdom,Executive Double Room,3 nights ·  February 2019,Couple,Reviewed: 14 February 2019,25 year wedding Anniversary should have stayed at the Marriott Canary Wharf!,"First impression as we booked in looked promising warm welcome and enthusiastic reception team had all the patter ""We have a fantastic room for you brilliant view"" room 3004. On opening the door we saw fantastic view of the city and then we saw the carpet covered in black stains! I called reception immediately as we where concerned we would be held responsible. Reception visited and offered another room but it would not have the view! I asked why the carpet had not been cleaned? He could not answer!
The room was comfortable 
Bokan bar & grill on 38 floor on Saturday night was buzzing live music bar open till 01:00 but be warned Sunday & Monday Bar closed 23:15!
Bar staff, waitressing, restaurant manager at breakfast, cleaning and reception brilliant, two negatives Chef on breakfast Monday rude and unhelpful refused to cook fresh egg and bacon most items on breakfast Buffy burnt, Security / doorman working in Bokan rude and barred the entry when returning from night out Sunday & Monday never asked if we were residents.
Spectacular View from bar and restaurant book a table in advance for Friday and Saturday night its heaving los of public customers.
Drinks on average at London prices good bar service friendly and entertaining.","The carpet covered in black stains! I called reception immediately as we where concerned we would be held responsible. Reception visited and offered another room but it would not have the view! I asked why the carpet had not been cleaned? He could not answer!
Two negatives on staff Chef on breakfast Monday rude and unhelpful refused to cook fresh egg and bacon most items on breakfast Buffy burnt and Security / doorman working in Bokan rude and barred the entry when returning from night out Sunday & Monday never asked if we were residents.
The mini bar for beer, wine, soft drinks, water and snacks was free only problem was once you drunk the mini bar contents and eaten the snacks only minimal items were replaced, water 1 still bottle.",7.5
700,Mr,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 13 February 2019,A perfect and affordable hotel.,"The view from my room was truly amazing, we could see the London skyline clearly. Also the room was very modern from the shower to the Tv, everything is up to date.","We had to wait 40 minutes before we were taken to our room, and we were taken to the wrong room at first, before being given the correct room, which was quite inconvenient.",10
701,Daniel,Austria,Superior Double Room,3 nights ·  February 2019,Couple,Reviewed: 13 February 2019,Superb,The view was AMAZING! Breakfast was very too!,The bed was very uncomfortable. We had back pains in the morning and couldn’t sleep well.,9.2
702,Laurynas,Spain,Superior Double Room,1 night ·  February 2019,Solo traveller,Reviewed: 12 February 2019,Not bad.,"Nice location, comfy bed, good view from the window, room clean, but could do with a refurb expecially carpets. Good restraunt with perfect city view.",Not Available,10
703,Summer,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 12 February 2019,Good,Extremely clean and modern fasilities with an amazing veiw,The male at the desk was a little rude to others on the phone when we were waiting to be given our room,7.9
704,Elizabeth,Greece,Superior Double Room,5 nights ·  January 2019,Family,Reviewed: 12 February 2019,Exceptional,"The property was amazing, held a very relaxing and tranquil atmosphere, with a great gym and pool that was a fantastic way to end long days sight seeing. The view from the room was the best, as was the room. 
Room service was very accommodating on all fronts!! Location was super, 5 min away from two train lines which took you downtown within minutes! Canary Wharf is such a beautiful area, it was really great to stay there. Staff was incredibly friendly and accommodating!!",Truly no negatives,10
705,Lisa,United Kingdom,Superior Double Room,1 night ·  February 2019,Group,Reviewed: 11 February 2019,Exceptional,Very spacious room was lovely,Not enough staff when there’s lots of people checking in an those already staying have to wait,9.6
706,Pinar,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 11 February 2019,Very pleasant stay. Would definitely recommend this hotel.,"Very pleasant stay. Staff was very attentive, polite and helpful. Room had a fantastic view of the city. Message and the chocolates from management for my partner's special birthday was a nice touch.",Not applicable,10
707,Lorraine,United Kingdom,Superior Twin Room,1 night ·  February 2019,Couple,Reviewed: 11 February 2019,Room lovely staff warm friendly and helpful,The room and shower were lovely,Breakfast,10
708,Alison,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 11 February 2019,"Great hotel, good location, very comfortable",Really enjoyed the hotel. We arrived quite late so couldn't use all the facilities but hopefully we'll be back soon and will be able to arrive earlier next time.,Nothing to not like,7.5
709,Ian,United Kingdom,Executive Double Room,1 night ·  February 2019,Couple,Reviewed: 10 February 2019,"Great stay, friendly staff and lovely food, just a shame there's no parking","Fantastic views, great staff, great food",Offer local parking options,9.2
710,Lilllie,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 10 February 2019,Good,"Room was nice and modern,",Pool was a little cold,7.5
711,Rebecca,United Kingdom,Superior Twin Room,2 nights ·  February 2019,Group,Reviewed: 10 February 2019,Lovely - the facilities in gym / pool area really nice. 👌😀,The beds were comfortable & the room warm although we didn’t notice a difference in temperature when we changed the thermostat.,"No hot rail for drying wet clothes- we arrived in pouring rain! Gloves, scarves not dry in morning ( or shoes). 
No gluten free options at all in cafe downstairs... fresh coffee /cafetière in room? Be great then. Found tv difficult to negotiate... no guide list ( we could’ve been tired!) Neighbours playing loud music.",7.5
712,Liam,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 10 February 2019,"Amazing staff, chic hotel",We were lucky to be upgraded and the view and service was amazing.,"There was a bit of confusion with our check in, but it was quickly solved.",9.2
713,Stuart,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 10 February 2019,Great couples stay!,"We liked the shower. 
Boka bar huge bonus- make sure to book.",S,9.6
714,Louis,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 10 February 2019,Exceptional,The view was amazing,Not Available,9.6
715,R,United Kingdom,Executive Suite,1 night ·  February 2019,Couple,Reviewed: 9 February 2019,Exceptional,Great views from the bar and restaurant. Room facilities were great. It was my second time staying in the executive suite in Novotel. The view and room this time round were not as good as my last stay which was disappointing given the price was roughly the same but it was still an enjoyable stay and the staff are very helpful.,Not Available,9.6
716,Luca,United Kingdom,Executive Double Room,1 night ·  January 2019,Couple,Reviewed: 8 February 2019,"The view, no words!",Wow! The view from our room was literally amazing and the rooftop bar is perfect,Not Available,9.2
717,Maria,United Kingdom,Superior Twin Room,1 night ·  February 2019,Family,Reviewed: 7 February 2019,Exceptional,"Lovely saty at the hotel .... I stayed for a treat for my Daughters 10th birthday and it was amazing, the staff really made her feel welcome.
fab location, 5 mins from tube ....
view from our room where AMAZING... views from the rooftop restaurant were even more spectacular.",Not Available,10
718,Sheryl,United Kingdom,Superior Double Room,1 night ·  February 2019,Family,Reviewed: 7 February 2019,Exceptional,The whole hotel was lovely and the roof top bar was brilliant with an amazing view.,Not Available,10
719,Martin,Slovakia,Executive Double Room,2 nights ·  January 2019,Couple,Reviewed: 6 February 2019,Amazing hotel to stay in when in London.,"Outstanding view from the room. Amazing offer for breakfast at top floor, lovely neighborhood (I love skyscrapers!) and pretty close to Jubilee line station (5 mins walk).",Everything was perfect!,10
720,Alexandrs,United Kingdom,Executive Suite,1 night ·  February 2019,Couple,Reviewed: 5 February 2019,Amazing and beautiful. Will recommend!!,"it was a beautiful view, hotel, and room, the service and the food was great.",Nothing,10
721,Colin,United Kingdom,Superior Double Room,2 nights ·  February 2019,Solo traveller,Reviewed: 4 February 2019,Thoroughly enjoyed my experience at the Novotel.,Brilliant location. Perfect for the jubilee line underground and DLR. walking distance to the shopping mall at Canary Wharf. Rooms were spotlessly clean an amazing view over to the city. Would absolutely recommend the hotel and will definitely be visiting again. No complaints whatsoever.,Not Available,10
722,Michael,United Kingdom,Superior Double Room,1 night ·  February 2019,Couple,Reviewed: 4 February 2019,Exceptional,"Very friendly staff, and a birthday card and cakes were left in the room as I informed them I was staying for a birthday! Excellent hotel, and the views were amazing!",Not Available,10
723,Kasey,United Kingdom,Superior Twin Room,2 nights ·  February 2019,Couple,Reviewed: 3 February 2019,Superb,"High quality facilities in the room, a lot of amazing facilities eg; pool, gym, sauna. Very clean and fashionable.",On one of the days the breakfast was cold.,9.2
724,Daniela,United Kingdom,Executive Double Room,1 night ·  February 2019,Couple,Reviewed: 3 February 2019,Amazing Anniversary Worth The Money!,"Bed was comfy, Free snacks and refreshments, Tell had everything and lights was romantic and not too much",Smelly Bathroom in Room 3108 Overall I stayed here twice and it was not disappointing.,10
725,Lewis,United Kingdom,Superior Twin Room,1 night ·  February 2019,Group,Reviewed: 3 February 2019,Exceptional,The views of London were spectacular !,"The pool 
Would be nice if it was higher up and you could swim overlooking London",10
726,Abbie,United Kingdom,Superior Double Room,1 night ·  February 2019,Solo traveller,Reviewed: 1 February 2019,Exceptional,Modern room,Mirror on inside of wardrobe door- took ages to find it,9.6
727,Yiping,China,Superior Double Room,2 nights ·  January 2019,Couple,Reviewed: 1 February 2019,Exceptional,"I was located on a high floor, the view is very nice. Hospitality is also good, will recommend to my friends.",A bit far from the canary wharf underground station,9.6
728,Roy,United Kingdom,Superior Double Room,1 night ·  January 2019,Couple,Reviewed: 30 January 2019,Very good,Very good stay and I will come back again.,Not Available,8.3
729,Andrew,United Kingdom,Executive Double Room,1 night ·  January 2019,Group,Reviewed: 27 January 2019,Great!,"Just a great hotel. Rooms are spot on, pool is perfect, the roof terrace bar is amazing.","Location could be better, but who’s complaining.",10
730,Shaandeep,United Kingdom,Superior Double Room with City View,1 night ·  January 2019,Couple,Reviewed: 26 January 2019,"Thank you, a brilliant stay","Service was excellent, staff went the extra mile to make sure we had everything we needed",Not Available,9.6
731,Nes_ja,Germany,Superior Double Room,4 nights ·  January 2019,Couple,Reviewed: 26 January 2019,NYE London,"Very nice hotel in Canary Wharf, with the underground you are within 10 min max. in the city centre. You don't even have to change for most of the sights. From the hotel to the underground it is about 8 minutes by foot. The hotel is great, but not for people who are afraid of heights. Breakfast is on the 38 floor, which is great, one has a view over the whole city. The breakfast is also very good, sometimes you have to wait a moment until you get a table - but that didn't bother us. The staff is always helpful and very friendly. 
I'm sure we'll come back.",-,9.2
732,Bryce,United Kingdom,Superior Double Room,1 night ·  January 2019,Couple,Reviewed: 23 January 2019,Exceptional,"Everything was great, room was great nice views and nice people",Nothing I can think of,10
