,Name,Country,Room_stayed,Date_stayed,Trip_type,Review_date,Review_title,Positive,Negative,Reviewer_score
1172,Claire,United Kingdom,Executive Double Room,1 night ·  December 2018,Group,Reviewed: 3 December 2018,Passable,The restaurant for breakfast was excellent with a good choice.,We booked an executive room to have access to the executive lounge which didn't exist when we got there,5.0
1173,Dmitriy,Kazakhstan,Superior Double Room,1 night ·  November 2018,Couple,Reviewed: 28 November 2018,Pleasant,Room size is very nice. Property is relatively new.,My room was several categories lower than I booked. I booked a room with floor windows but instead I had tiny windows. The room was very cold. It took a night to heat the room to a habitable temperature.,6.2
1174,Dinesh,United Kingdom,Superior Double Room,1 night ·  November 2018,Couple,Reviewed: 25 November 2018,"Lovely hotel, need more reception staff at busy times",Free upgrade with our room,"Reception staff didn't explain to us the complimentary mini bar selection and what time we could check out.
The heating in our room didn't work properly, had to wait for someone to come & then informed that someone else will come in 30 mins which they didn't.",6.7
1175,Maher,Kuwait,Superior Double Room with City View,12 nights ·  November 2018,Solo traveller,Reviewed: 19 November 2018,Acceptable,The bedsheets were not clean enough,Not Available,7.1
1176,Karandeep,Australia,Superior Double Room,6 nights ·  October 2018,Solo traveller,Reviewed: 11 November 2018,Would not recommend,Not too far from the station and the central canary wharf area even though hotel is more isolated.,"Room was not hoovered upon arrival nor the day after despite letting the front desk know. On the third day the room was not cleaned at all and when brought to the attention of staff they offered free drinks at the bar or room service but this should not have been happening in the first place. Nobody to help with luggage even though I was alone with 2 suitcases and 2 bags. Overall, it was disappointing and not worth the money. Could easily find another hotel for the same price with better services, facilities and location.",4.6
1177,Inese,United Kingdom,Superior Double Room,1 night ·  November 2018,Couple,Reviewed: 4 November 2018,"Hotel nice, staff need people training 😡",The hotel bar was amazing 😉,"The staff for breakfast Iva had a face like a slapped arse, really moody, customers pay good money, and if there is a window seat, these should be available, ordered room service that never arrived.. the English of the staff is poor and I think they are rude.",6.7
1178,Dean,United Kingdom,Superior Double Room,2 nights ·  October 2018,Group,Reviewed: 29 October 2018,Pleasant,"Yes , but I would advise them to check all lifts are operational before booking","During our stay there was only 2 lifts out of 4 working which caused massive delays between getting between floors due to lifts being full or going straight past our floor.
This also caused issues to our friend who is pregnant and had to walk down 15 flights of stairs after the lift failed to stop on their floor after 20 mins or waiting.",6.2
1179,Marina,Russia,Superior Double Room,2 nights ·  October 2018,Solo traveller,Reviewed: 27 October 2018,Pleasant,Friendly staff. Breathtaking views and good breakfast in the restaurant. Very comfortable bed.,"Too high a price, and when I needed to extend the stay, as a result, the price for 2 nights was almost the same as for the previous 4 nights.",6.2
1180,Frequent,Finland,Superior Twin Room,1 night ·  October 2018,Solo traveller,Reviewed: 26 October 2018,Short London visit.,"Modern hotel, close to Canary Wharf station. 
Surprisingly good pillows.","Got an allergic reaction during the night, maybe because of the air conditioning(?).
You need to queue for the breakfast.
No body lotion or hair conditioner.",7.1
1181,Chern,Hong Kong,Superior Twin Room,1 night ·  October 2018,Solo traveller,Reviewed: 23 October 2018,A good business hotel,The room is spacious and the bed was very comfortable.,I was looking forward to having a bath tub but was instead given the room with disabled washroom with shower,7.1
1182,Jacques,United States,Superior Double Room,1 night ·  September 2018,Group,Reviewed: 1 October 2018,im not happy at all,not at all,the personal was veryunpolite unfriendly hypocrite because they look at us outside appareance ...racial desrimanation,2.5
1183,Ewelina,United Kingdom,Superior Double Room,1 night ·  September 2018,Couple,Reviewed: 22 September 2018,The hotel is overrated won't even mention the pooh in the sauna toilets,The airconditioning,The staffs approach and the fact that receptionist tell lies and think you're an idiot,4.2
1184,Ross,United Kingdom,Studio Suite,1 night ·  September 2018,Couple,Reviewed: 10 September 2018,Rubbish,Staff were rude didn't like anything,The staff,2.5
1185,Sunisa,Belgium,Superior Twin Room,1 night ·  September 2018,Family,Reviewed: 1 September 2018,Pleasant,"I like the location of this place.
I like the breakfast.
The room was clean and i got nice view.","I dont like the reception I came here twice they were nice before but now there a bit more aggresive.
Before they were nice women and now there are men.",6.7
1186,Uchenna,Ireland,Superior Double Room,2 nights ·  August 2018,Couple,Reviewed: 27 August 2018,Won't be a repeat.,Front desk staff were helpful and professional,"The lifts were like a joke, it felt like waiting for the train.
Housekeepers were rude and didn't speak much English. On the last day,it felt like one was being hounded out the door.",5.4
1187,Benjamin,United Kingdom,Superior Double Room,2 nights ·  August 2018,Couple,Reviewed: 27 August 2018,Good but could be better,I liked the views and the rooms was okay. The hotel overall is really good I would go there again.,The English breakfast wasn't the best but it was okay. The first day we order it had more quantity and the next day less. Swimming pool and gym was too small. One staff in Bokan was rude by kicking us out of the bar area. Apart from that it's a really nice hotel,6.7
1188,Imad,United Arab Emirates,Superior Double Room,7 nights ·  August 2018,Family,Reviewed: 25 August 2018,Holiday in London,The view,House keeping was very poor,5.4
1189,Kay,United Kingdom,Superior Double Room,2 nights ·  August 2018,Couple,Reviewed: 21 August 2018,Upset with the service,The view,"I paid for the deluxe room on the 32nd floor and I got no toothpaste until I called to ask for it, no soap until I called to ask for it, and the room service line was always busy when me or my wife would ring it. Also Break fast as included in my package but the lady said they'll charge me. I wasn't happy with the service.",6.7
1190,Mariam,United Kingdom,Superior Double Room,2 nights ·  August 2018,Group,Reviewed: 20 August 2018,Good,"The facilities were really good, room was nice, overall really good stay","Had to ask 4 times for room service to be done, when asking cleaners had slight attitude",7.1
1191,Martin,France,Studio Suite,2 nights ·  August 2018,Family,Reviewed: 14 August 2018,Nightmare,"This hotel is not suitable for children at all(specially the swimming pool ) , the “executive lunch” (for suite’s rooms)is not exist there is a place with coffee machine (which was broken ) the soft drinks are looked on the fridge and nothing more! Bathroom utensils were missing (no hair conditioner and shower gel ) also shampoo, body lotion and towels were missing when we arrived .",Not Available,2.9
1192,Abs,United Kingdom,Superior Double Room,1 night ·  August 2018,Couple,Reviewed: 13 August 2018,Uncomfortable,good location,no luxury overpriced room too small no reception just laptop and staff,5.8
1193,Dermot,United Kingdom,Superior Double Room,1 night ·  August 2018,Couple,Reviewed: 10 August 2018,Novotel canary wharf,Views and staff,Only thing I didn't like was how expensive the food and drink was in the resteraunt Other than that was great and views superb,7.1
1194,Saurabh,Netherlands,Superior Double Room,1 night ·  August 2018,Group,Reviewed: 8 August 2018,unpleasant!,The location and the breakfast,"the room condition and facilities - was given a room for the differently abled, without any mention. The room was quite different - couldnt hang my jacket/suit/shirts because they would touch and fold up at the bottom part of the cupboard. There was no duvet in the room.. had to ask for it at 4 AM. the red hanging things (for emergency) were not so obvious and i assumed they were for switching on the lights! Size of the room was quite small as well",5.4
